Tipo de Producto,Código Barras,SKU,Variante,Precio Venta
AC FLIP COVER,110171057,110171057,FLIP COVER UN VISOR SAMSUNG I9500 S4,"6.000,00"
AC FLIP COVER,17230096,17230096,FLIP COVER UNIVERAL MOD 6,"6.000,00"
AC FLIP COVER,32230001,32230001,FLIP COVER UNIVERSAL,"5.500,00"
AC FLIP COVER,76230095,76230095,"FLIP COVER UNIVERSAL 5,","5.500,00"
AC FLIP COVER,61230055,61230055,"FLIP COVER UNIVERSAL 5,5","5.500,00"
AC FLIP COVER,34230055,34230055,"FLIP COVER UNIVERSAL 5,5""","5.500,00"
AC FLIP COVER,76230092,76230092,FLIP COVER UNIVERSAL MOD 2,"5.500,00"
AC FLIP COVER,76230093,76230093,FLIP COVER UNIVERSAL MOD 3,"5.500,00"
AC FLIP COVER,17230094,17230094,FLIP COVER UNIVERSAL MOD 4,"5.500,00"
AC FLIP COVER,76230094,76230094,FLIP COVER UNIVERSAL MOD 4,"5.500,00"
AC FLIP COVER,17230095,17230095,FLIP COVER UNIVERSAL MOD 5,"6.000,00"
AC FLIP COVER,11767006,11767006,FLIP COVER VISOR MOTOMO SONY XPERIA Z2,"8.000,00"
AC FLIP COVER,110767006,110767006,FLIP COVER VISOR MOTOMO SONY XPERIA Z2,"8.000,00"
AC FLIP COVER,76230213,76230213,FLIP COVER XIAOMI REDMI NOTE 9,"5.000,00"
AC FLIP COVER,766018186,766018186,FLIP COVER ZTE A 460,"5.500,00"
AC FLIP COVER,76601836,76601836,FLIP COVER ZTE BLADE 2,"5.500,00"
AC FLIP COVER,76231806,76231806,FLIP COVER ZTE BLADE 3,"5.500,00"
AC FLIP COVER,766318112,766318112,FLIP COVER ZTE BLADE 3,"5.500,00"
AC FLIP COVER,762318133,762318133,FLIP COVER ZTE L2,"5.500,00"
AC FLIP COVER,766018133,766018133,FLIP COVER ZTE L2,"5.500,00"
AC FLIP COVER,766318133,766318133,FLIP COVER ZTE L2,"5.500,00"
AC FLIP COVER,76601876,76601876,FLIP COVER ZTE L3,"5.500,00"
AC FLIP COVER,762318186,762318186,FLIP COVER ZTE Z460,"5.500,00"
AC FLIP COVER,76230956,76230956,FLIP CPVER LG G4,"5.500,00"
AC FLIP COVER,76600934,76600934,FLOP COVER MOTOMO SHELL LG MAGNA,"5.500,00"
EM VARIOS,7858816071201,87527120,FOCO ARO IRM-07120,"7.990,00"
EM LINTERNA,6925871608206,22520820,FOCO CON SENSOR DE MOVIMIENTO ET-L0820S,"9.900,00"
