Fecha,Usuario,Documento de Recepción,Nota,SKU,Código Barras,Producto,Cantidad,Serie,Costo Neto Unitario,Costo Neto Total
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,87028245,7858816082450,ADAPTADOR TIPO IPHONE A JACK Y CARGADOR IRM-08245,2,,"1.008,00",2.016
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2166,Recepcion / NATALY BAEZA,39020001,39020001,ADAPTADOR OTG C,4,,"790,00",3.16
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2167,Recepcion / NATALY BAEZA,22120275,6925871602754,CARGADOR AUTO ET-D0275 CAR,2,,"436,97",874
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2167,Recepcion / NATALY BAEZA,395907253,190198001184,TAPA 2.0 IPHONE 7,1,,"2.500,00",2.5
14/10/2021,NATALY BAEZA,Sin Documento Nº 141021,INVENTARIO,87128600,7858816086007,CARGADOR CASA CABLE C-C IRM-08600,1,,"3.277,00",3.277
14/10/2021,NATALY BAEZA,Sin Documento,INVENTARIO,34520111,34520111,LAPIZ TACTIL PUNTA FINA,1,,"10.504,00",10.504
14/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2170,Recepcion / NATALY BAEZA,22744715,6925871647151,AUDIFONOS BLUETOOTH ET-A4715B OREJA GATO,2,,"6.899,15",13.798
14/10/2021,NATALY BAEZA,Sin Documento,REINGRESO,34520111,34520111,LAPIZ TACTIL PUNTA FINA,4,,"10.504,00",42.016
15/10/2021,NATALY BAEZA,Factura Nº 41656,CIQ,54335454,54335454,LAMINA HIDROGEL,100,,"936,00",93.6
15/10/2021,NATALY BAEZA,GUIA DE TRAPASO Nº 2174,Recepcion / NATALY BAEZA,87117796,7858816077968,CARGADOR AUTO IRM-07796,1,,"2.353,00",2.353
